nom;Eau;Proteines;Glucides ;Lipides ;Sucres ;FibresAlimentaires;AG_satures ;Sel
Meloukhia, plat à base de boeuf et corete, fait maison;67,7;10,6;1,2;14,7;1,2;4,7;-;0,93
Palette à la diable, préemballée;-;13,5;2,08;6,07;1,38;1,45;2,2;2,25
Langue de boeuf sauce madère, préemballée;-;9,5;4,5;13,5;2,5;1;6;1,08
Porc au caramel, préemballé;70,7;10;11,4;5,4;7,9;0,7;1,44;1,34
Boulettes au boeuf, à la sauce tomate, préemballées;-;9;5,5;6,5;-;traces;-;-
Paupiette de veau, préemballée,  cuite au four;54,8;22;0,48;20,5;0,3;0,9;8,19;1,07
Carpaccio de boeuf, avec marinade;57;15,2;0,55;23;0,5;0,36;7,38;1,12
Yakitori (brochettes japonaises grillées en sauce);58,8;26;9,3;3,3;6,6;0,6;1,2;1,19
Brochette de boeuf, cuite;69,2;21,9;0,33;5,2;-;< 3;1,8;0,86
Brochette de volaille, cuite;68;23,1;1,39;4;-;< 3;1,02;0,75
Hachis parmentier à la viande, préemballé;73,6;5,99;9,39;8,22;1,47;1,43;4,7;0,83
Couscous au mouton;68,9;8,31;12,2;7,2;1,38;1,3;-;0,81
Couscous à la viande ou au poulet, préemballé, allégé;72,9;5,9;11,5;1,9;2,1;2;0,4;0,7
Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée;65;3,2;16,2;9,6;1,7;2,1;2,9;0,6
Couscous royal (avec plusieurs viandes), préemballé;69,2;7,69;14;4,53;1,57;2,1;1,54;0,88
Couscous au poulet;66,9;7,5;15,6;3,85;2,87;1,47;1,17;0,79
Couscous à la viande, préemballé;69,2;7,59;12,5;4,73;1,97;2,53;1,24;0,78
Parmentier de canard, préemballé;69,9;6,82;8,51;9,06;1,96;1,55;4,5;0,81
Parmentier de canard, préemballé, cuit;68,5;7;10,5;10,2;1,7;1,2;4,7;0,74
Cassoulet, appertisé;70,6;8,06;9,41;5,77;1,06;3,55;2,07;0,97
Choucroute garnie, préemballée;82,4;5,06;2,8;8,06;0,66;2,71;3,22;1,39
Petit salé ou saucisse aux lentilles, préemballé;73,5;8,24;8,89;4,87;1,51;2,83;1,89;0,98
Pot-au-feu, préemballé;82,9;10,9;3,2;2,02;1,5;1,5;0,82;0,32
Boeuf aux carottes;78,5;13,2;3,3;3,15;0,6;1,1;1,21;0,58
Potée auvergnate (chou et porc);82,5;6;3,7;4,3;0,86;2,3;1,57;0,84
Cassoulet au porc, appertisé;71,1;8,3;8,6;6,3;1,8;4;2,2;1,1
Cassoulet au canard ou oie, appertisé;68,6;10,5;10,1;7,86;1,09;3,86;2,43;1,05
Tomate farcie;78,5;5,49;2;9,67;0,88;2,31;3,24;0,7
Chou farci, préemballé;81,2;5,3;2;6,6;2;3,13;-;0,87
Chili con carne, préemballé;74,2;7,13;13;3,35;2,58;3,56;1,13;0,93
Moussaka;76;5,82;5,16;10,8;3,01;2,84;3,37;0,97
Navarin d'agneau aux légumes;73,7;8,05;5;8,61;0,9;1,65;1,4;0,63
Tajine de mouton;73;12,8;4,5;6,83;2,4;< 1;2,73;0,99
Osso buco;77,4;11,2;3,5;4,08;1,1;0,6;0,8;1,47
Poulet basquaise, préemballé;-;9,3;2,5;6,4;2;1,3;1,7;0,89
Tajine de poulet, préemballé;72,7;7,54;14,4;3,7;6,8;3;0,4;1,17
Chop suey (porc ou poulet), préemballé;-;5;7,8;3;-;traces;-;-
Légumes farcis (sauf tomate);81,1;6,4;3,6;3;2,59;1,4;0,46;0,69
Moules marinières (oignons et vin blanc);76,5;10,3;7,43;2,24;1,05;0,53;0,99;0,69
Moules farcies (matière grasse, persillade…), préemballées, crues;57,5;9,56;4,43;24,8;0,3;1,26;16,6;1,08
Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru;78,4;6,13;8,39;5,1;2,48;0,5;3,18;0,82
Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit;78,2;6,69;5,28;7,5;1,6;0,7;4,82;0,92
Saumon à l'oseille, préemballé;71,2;8,36;7,43;7,65;0,58;0,73;3,19;0,69
Poisson blanc à la bordelaise, préemballé;67,5;14,8;5,3;10,4;1,09;1;2,3;1,28
Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé;83,6;9,31;3,1;2,3;2;2,4;0,42;0,7
Poisson blanc à la florentine (sauce aux épinards), préemballé;-;11,4;2,9;4,35;1,95;2;2,75;0,56
Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé;-;11,5;2,2;2,8;-;traces;-;-
Poisson blanc à la sauce moutarde, préemballé;-;9,2;5,4;3,6;-;0;-;-
Poisson blanc à la parisienne (sauce aux champignons), préemballé;84,2;9,16;3;3,25;0,86;1;1,56;0,55
Poisson blanc à l'estragon, préemballé;-;8,8;4,2;2,8;-;0;-;-
Poisson blanc sauce oseille, préemballé;78,6;11,8;3,9;5,5;1,65;1;3,31;0,88
Saumon farci, préemballé;-;18,8;0,4;16,2;0,4;2,4;3,8;0,65
Brochette de poisson;73,8;18;0,86;5,71;0,85;0,29;0,98;0,56
Brochette de crevettes;75;18,5;1,5;1,5;0;0;0,1;0,35
Poisson en sauce, surgelé;75;13,3;3,18;7,05;1,3;1,25;2,84;0,82
Poisson cuit (aliment moyen);69,3;23,5;0;5,52;0;0;1,21;0,54
Poisson blanc, cuit (aliment moyen);74;22;0;2,18;0;0;0,44;0,88
Poisson blanc, de mer, cuit (aliment moyen);74;22,1;0;2;0;0;0,38;0,98
Paëlla;66,9;7,86;17,1;4,9;1,2;1,85;1,28;0,87
Couscous au poisson;75,6;7,5;14,2;1,6;1,7;1,7;0,2;0,84
Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé;74,9;6,39;8,57;6,15;1,62;1,1;3,68;0,81
Sushi ou Maki aux produits de la mer;60,3;6,69;26,9;3,7;4,93;0,9;0,6;0,55
Terrine ou mousse de légumes;75,9;4,05;5,6;9,56;1,77;2,55;3,43;1,31
Flan de légumes;68;5,38;4,13;18,6;2,06;2,3;10,8;0,89
Haricots blancs à la sauce tomate, appertisés;78,9;4,67;10,1;0,4;1,65;5,5;0,16;0,93
Piperade basquaise, préemballée;84,5;1,1;6,5;3,8;4,9;3,4;2;0,76
Poêlée de légumes assaisonnés sans champignon, surgelée, crue;81,7;2,6;12,1;1,77;1,5;3,6;0,4;1,25
Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;-;3,13;5,83;3,93;3,1;2,55;0,48;0,44
Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;86,5;1,61;4,33;1,77;2,66;4,14;0,14;0,25
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée";91,4;1,89;3,59;1,21;1,81;2,94;0,22;0,35
Ratatouille cuisinée, préemballée;88;1,22;4,97;3,15;3,91;2,03;0,47;0,94
Épinards à la crème, préemballés;86,9;2,5;4,1;2,9;1,19;1,9;1,82;0,72
Gratin d'aubergine, préemballé;80,9;1,95;5,45;8,68;3,8;2,35;1,3;0,45
Gratin dauphinois;74,7;3,38;14,5;4,2;2,08;1,5;2,67;0,81
Endive au jambon;78,4;7,44;4,71;6,3;1,98;1,5;3,77;0,65
Gratin de chou-fleur, préemballé;82,1;3;3,3;6,5;0,88;1,3;4;1,07
Gratin de légumes;79,6;3,44;6,91;6,7;3,42;1,7;3,41;0,57
Riste d'aubergines (aubergines, tomates, oignons), préemballée;-;1,05;10,6;10,4;5,2;2,6;2;1,19
Palet ou galette de légumes, préfrit, surgelé;79,4;3,29;10,7;5,44;3,34;2,61;1,13;0,94
Palet ou galette de légumes, préfrit, surgelé, cuit;78,2;3,31;8,45;5,7;3;2,6;0,64;0,75
Choucroute, sans garniture, égouttée, cuite;85,6;1,38;< 0,1;6,6;< 0,2;4,5;2,02;1,26
Tomate à la provençale, fait maison;83,6;1,65;6,55;4,32;2,71;2;0,94;0,47
Beignet de légumes;64,8;3,52;23;8,52;3,03;1,95;0,99;0,69
Falafel ou Boulette de pois-chiche et/ou fève, frite;48;8,25;18,7;14,4;1,4;7,7;1,5;1,6
Gratin de légumes en sauce blanche type béchamel, cuit;79,9;3,56;6,74;6,5;3,2;1;3,48;0,64
Falafel ou Boulette de pois-chiche et/ou fève, préemballé;55,7;7,38;17,7;10,8;3,57;6;1,28;0,87
Blé dur précuit cuisiné, en sachet micro-ondable;57;5,29;29,5;4,84;2,21;2,58;1,11;1,16
Blé dur précuit, grains entiers, cuisiné, à poêler;-;12,1;67,2;1,59;2,64;6,28;0,69;1,51
Ravioli à la viande, sauce tomate, appertisé;79,1;4,22;12,5;2,83;2,23;1,41;1,14;0,96
Lasagnes ou cannelloni à la viande (bolognaise);74,3;6,29;13,5;5,72;2,84;1,91;2,55;0,97
Pâtes à la bolognaise (spaghetti, tagliatelles…);69,5;5,32;13,6;4,07;2,64;1,9;1,42;0,83
Riz cantonais;62,9;5,46;23,6;4,94;1,28;1,74;0,75;0,86
Ravioli chinois à la vapeur à la crevette, cuit;59,4;5,5;27,8;5,5;1,1;3,6;1,55;0,96
Gratin de pâtes;64,7;7,06;16,4;9,2;2,19;1;4,85;0,85
Lasagnes ou cannellonis aux légumes, préemballées, cuits;74;2,75;11;4,85;4,75;2,25;1,5;0,57
Pâtes à la carbonara (spaghetti, tagliatelles…);66;5,91;14,2;8,7;1,79;1,18;4,34;0,86
Lasagnes ou cannellonis au poisson, préemballées;71,2;7,28;13;7,1;2,03;1,68;2,5;1,02
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites;51,3;10;26,8;8,3;4,4;1,9;4,64;0,79
Couscous de légumes, préemballé;71,1;4,32;16,4;2,25;2,54;2,24;0,8;0,73
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;51,2;7,94;27,8;7,5;3,53;3,4;2,36;1,05
Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues;35,3;11,4;40,3;5,79;3,91;3,15;2,45;1,28
Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites;60,3;6,94;25,1;4,65;1;2,15;1,65;0,52
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues;42,9;11,3;37,3;7,69;3,83;2,23;4,28;1,13
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;37,5;9,98;41,4;5,69;3,46;2,87;2,74;1,07
Nouilles sautées/poêlées aux crevettes;76,4;4,88;12,6;3,4;1,7;1,6;1,16;0,84
Riz blanc, avec poulet, préemballé, cuit;-;4,44;31,5;3,19;3,48;0,99;0,52;0,78
Riz blanc, avec légumes et viande, préemballé, cuit;-;4,85;28,3;3,57;1,91;0,98;0,69;0,85
Risotto, aux légumes, préemballé;73,6;2,88;18,4;3,8;0,85;< 0,5;2;0,76
Risotto, aux fruits de mer, préemballé;-;5,75;12,5;6,07;2,02;1,15;2,92;0,85
Risotto, aux fromages, préemballé;-;5,93;30,9;5,16;0,58;0,7;2,49;0,82
Raviolis aux légumes, sauce tomate, appertisés;78,5;2,88;13,5;2,45;2,83;1,7;0,48;0,76
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;64,6;5,19;20,9;4,9;1,9;3,7;1,93;0,49
Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;-;7,17;15,9;7,4;5,85;1,85;4,35;0,8
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;-;9,4;41,4;5,06;3,14;3,02;1,74;0,81
Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);55,9;7,98;25,7;6,53;2,82;2,52;2,88;0,72
Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;67,6;2,63;18,6;6,5;0,8;2,6;0,85;1,34
Lasagnes ou cannellonis aux légumes, préemballés, cuits;74,5;4,38;11,8;5,9;4,3;traces;1,91;0,6
Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits;65,6;7;14;10,2;2,3;1,4;5,23;0,85
Lasagnes ou cannellonis au fromage et aux épinards, préemballés;68,1;6,1;11,4;6,6;3,5;1,87;3,1;0,99
Aligot (purée de pomme de terre à la tomme fraîche), préemballé;65,1;8,06;9,5;13,3;0,57;1,3;8,25;1
Fromage de chèvre pané à dorer, préemballé;48,6;12,7;15;19,2;3,5;-;9,99;1,27
Soufflé au fromage;67,3;12,9;3,8;12,6;1,77;2,1;7,37;0,92
Tartiflette, préemballée;68,9;6;13,5;8,9;1,25;0,8;4,47;0,75
Gougère;30,3;16,2;22,7;26,6;0,56;1,9;16;1,13
Préparation à base de fromage(s) pour fondue savoyarde, préemballée;57,4;15,9;2,6;17,2;1,1;0;12;1,28
Fromage pané au jambon;52,6;17,4;15,3;14,6;1,5;< 1;7,15;2,32
Escalope végétale ou steak à base de soja;52,5;17;8,7;14,7;2,3;8,8;0,65;1,75
Tempeh;63,7;17,6;7,89;4,7;0,24;6,2;0,57;0,098
Nuggets de blé (sans soja), préemballé;45,7;13,5;22,4;14,9;1,33;2,55;1,48;0,67
Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé;48;14,1;18,5;12,6;3,17;4,18;1,34;1,18
Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé;45,8;15,5;19,7;10,9;1,75;5,38;1,14;1,39
Pané soja et blé (ne convient pas aux véganes ou végétaliens);47,7;14,4;16,8;13,9;1,28;4,39;1,45;1,03
Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée;46,2;16,9;18,8;10;traces;5,41;1,1;1,13
Escalope panée, soja, blé et fromage, type cordon bleu, préemballée;50,2;15,2;15,1;13,1;2,05;3,28;3,02;1,5
Raviolis au tofu, à la sauce tomate, préemballés;77,9;3,13;12,5;2,7;3,14;2,1;0,41;0,81
Galette de céréales au fromage (sans soja), préemballé;48,4;7;27,8;10,3;2,86;4,3;2,56;1
Galette de céréales aux légumes (sans soja), préemballé;52,7;5,31;28;7,6;3,66;4,4;0,89;1,03
Boulette végétale au soja et/ou blé, préemballée;54,7;17,6;7,98;10,6;3,47;5,45;1,11;1,51
Galette ou pavé aux lentilles, soja et légumes, préemballé;61,2;10,6;16,7;5,6;2,77;4,76;0,75;0,85
Galette ou pavé au blé (seitan) et légumes, préemballé;54,6;13,4;20,8;7,1;3,97;3,1;0,73;1
Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé;55,5;17,5;8,15;11;1,87;6,03;1,04;1,3
Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé;61,7;11,1;13,3;10,2;2,62;5,36;1,07;1,14
Galette ou pavé au soja et fromage, préemballé;60,6;16,8;6,08;12;0,75;1,8;4,63;1,07
Galette ou pavé au soja et légumes, préemballé;62,6;14,4;8,36;8,1;3,45;4,97;1,04;0,93
Galette ou pavé au soja, fromage et légumes, préemballé;62,5;15,1;7,72;9,1;2,03;2,83;2,36;0,97
Haché végétal à base de soja, préemballé;67,5;12,6;7,01;5,8;4,19;5,23;0,64;0,78
Pizza au fromage ou Pizza margherita, préemballée;49,3;9,09;29,6;7,64;2,72;1,67;3,4;1,24
Quiche lorraine, préemballée;53,2;8,96;21;16,8;2,67;1,29;8,63;1,28
Crêpe ou Galette fourrée béchamel jambon, préemballée;-;5,75;18,7;4;1,89;1,2;0,95;0,84
Crêpe ou Galette fourrée béchamel jambon fromage, préemballée;62,6;8,83;19,1;7,5;1,7;1,55;3,9;1,1
Crêpe ou Galette fourrée béchamel champignon, préemballée;66;4,83;20,7;5,02;2,7;1,32;0,92;0,99
Tarte aux légumes, préemballée;57,4;5;21,8;11,7;3,2;1,7;6;0,98
Pizza jambon fromage, préemballée;45,3;10,3;28;6,69;2,91;2,34;3,2;1,5
Tarte au fromage, préemballée;50,5;10,3;20,7;18;1,63;1,57;9,93;1,07
Tarte à la provençale, préemballée;54,3;5,5;20;14,3;2,9;5,3;4,15;0,8
Pizza à la viande, type bolognaise, préemballée;45;10,3;27,2;8,03;2,94;2,16;2,85;1,32
Burritos;62,5;8;14,3;8,5;1,9;1,9;4,33;0,75
Fajitas;63,7;12,7;16;4,5;2,2;1,4;1,96;0,89
Pizza au chorizo ou salami, préemballée;48,2;10,4;26,5;10,7;3,29;2,04;4,55;1,54
Pizza aux fruits de mer, préemballée;-;10,3;24,6;6,65;1,5;0,5;2,5;1,25
Pizza au saumon, préemballée;48,3;10,1;26,7;8,78;3,04;2,31;2,9;1,22
Pizza au chèvre et lardons, préemballée;49,5;10,7;26,9;9,96;3,17;2,36;4,83;1,49
Pizza aux légumes ou Pizza 4 saisons, préemballée;51,8;8,48;25,7;8;3,62;2,81;3,1;1,1
Pizza champignons fromage, préemballée;-;7,8;31,6;6,1;1,9;2,4;2,1;1,13
Pizza 4 fromages, préemballée;42,6;13,1;28,2;10,5;2,61;2,7;5,51;1,11
Pizza (aliment moyen);47,5;10,8;27,3;8,39;2,93;2,38;3,93;1,27
Pissaladière, préemballée;-;6,4;33,8;13,1;2,9;2,5;1,5;2,21
Tarte à l'oignon, préemballée;-;7;23,5;17,2;5,63;1,9;7,5;0,87
Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée;54,4;9,54;25,7;6,66;3,16;2,3;2,91;1,3
Crêpe ou Galette fourrée béchamel fromage, préemballée;65,5;6,02;17,7;5,75;3,86;1,05;2,02;0,92
Flammenkueche ou Tarte flambée aux lardons, préemballée;40,3;8,81;31,8;14,8;4,15;1,7;6,27;1,64
Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée;69,4;8,3;16,6;6,3;2,7;1,2;1,5;0,95
Tarte ou Tourte aux poireaux, préemballée;54,5;5,76;21,6;14,3;2,34;2,48;7,72;0,96
Tarte au saumon, préemballée;55,3;8,53;21;10,5;1,63;1,4;6,3;0,84
Tourte au riesling, préemballée;-;10,2;23,7;12,6;2,25;1,2;6,2;1,45
Tarte à la tomate, préemballée;58,4;5,17;19,3;12,8;4,2;2,9;7,67;0,8
Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée;56,8;12,7;15,2;9,8;1,1;4,5;6,02;1,12
Tarte aux noix de Saint-Jacques, préemballée;-;8,25;24,2;14,5;2,5;3;5,9;1,12
Pastilla au poulet, préemballée;54,8;12,3;14,1;12,2;3,85;1,5;1,75;1,5
Pizza aux lardons, oignons et fromage, préemballée;-;11,2;27,7;10,6;3,7;2,2;6;1,1
Crêpe ou Galette aux noix de St Jacques, préemballée;-;7,7;15,8;8;2,8;1,2;2,4;1,18
Tarte ou quiche salée (aliment moyen);51,9;8,11;22,7;15,6;3,14;1,76;7,83;1,21
Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée;63,4;5,5;18,5;7,7;3,16;3,4;2,48;0,76
Tarte au maroilles ou Flamiche au maroilles, préemballée;-;14,1;22,1;18,3;2,8;2,5;12,8;1,66
Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée;-;8,5;14,3;12,4;2,4;1,6;6,95;1,13
Ficelle picarde, préemballée;-;8,6;11,9;7,5;2,7;0,6;2,8;0,75
Tarte épinard chèvre, préemballée;51,7;7,08;22,2;13,6;3;2,05;7,34;1
